"subject","hem","roi","cyto","domain","group","tract","percentage"
"CLC06","lh","mFus-faces","FG4","face","kid","VOF",0
"RJ09","lh","mFus-faces","FG4","face","kid","IFOF",0
"RJ09","lh","mFus-faces","FG4","face","kid","ILF",32.7272727272727
"RJ09","lh","mFus-faces","FG4","face","kid","AF",9.35064935064935
"RJ09","lh","mFus-faces","FG4","face","kid","pAF",57.4025974025974
"RJ09","lh","mFus-faces","FG4","face","kid","VOF",0
"KG22/KG22_150201_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0
"KG22/KG22_150201_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",5.07569011576135
"KG22/KG22_150201_time_01_1","lh","mOTS-words","FG4","word","adult","AF",45.5921638468388
"KG22/KG22_150201_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",48.5307212822796
"KG22/KG22_150201_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",0.267141585040071
"CS22/CS22_150322_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0
"CS22/CS22_150322_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",15.9045725646123
"CS22/CS22_150322_time_01_1","lh","mOTS-words","FG4","word","adult","AF",47.0675944333996
"CS22/CS22_150322_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",37.0278330019881
"CS22/CS22_150322_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",0
"JH22/JH22_150227_time_01_2","lh","mOTS-words","FG4","word","adult","IFOF",0
"JH22/JH22_150227_time_01_2","lh","mOTS-words","FG4","word","adult","ILF",16.0628019323671
"JH22/JH22_150227_time_01_2","lh","mOTS-words","FG4","word","adult","AF",48.0676328502416
"JH22/JH22_150227_time_01_2","lh","mOTS-words","FG4","word","adult","pAF",31.280193236715
"JH22/JH22_150227_time_01_2","lh","mOTS-words","FG4","word","adult","VOF",3.26086956521739
"MJW22/MJW22_150415_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0
"MJW22/MJW22_150415_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",8.13337488314117
"MJW22/MJW22_150415_time_01_1","lh","mOTS-words","FG4","word","adult","AF",35.4939233406046
"MJW22/MJW22_150415_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",55.2820193206606
"MJW22/MJW22_150415_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",0.779058896852602
"NAV22/NAV22_150329_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0
"NAV22/NAV22_150329_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",2.08333333333333
"NAV22/NAV22_150329_time_01_1","lh","mOTS-words","FG4","word","adult","AF",27.6595744680851
"NAV22/NAV22_150329_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",68.1294326241135
"NAV22/NAV22_150329_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",1.90602836879433
"ML23/ML23_150314_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0.119904076738609
"ML23/ML23_150314_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",14.1486810551559
"ML23/ML23_150314_time_01_1","lh","mOTS-words","FG4","word","adult","AF",37.7697841726619
"ML23/ML23_150314_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",44.2446043165468
"ML23/ML23_150314_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",2.6378896882494
"JEW23/JEW23_150322_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0.235710076605775
"JEW23/JEW23_150322_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",7.07130229817325
"JEW23/JEW23_150322_time_01_1","lh","mOTS-words","FG4","word","adult","AF",42.4867413081909
"JEW23/JEW23_150322_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",50.0883912787272
"JEW23/JEW23_150322_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",0
"GB23/GB23_150301_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0
"GB23/GB23_150301_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",66.9456066945607
"GB23/GB23_150301_time_01_1","lh","mOTS-words","FG4","word","adult","AF",1.25523012552301
"GB23/GB23_150301_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",14.6443514644351
"GB23/GB23_150301_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",17.1548117154812
"JP23/JP23_150210_time_01_2","lh","mOTS-words","FG4","word","adult","IFOF",0
"JP23/JP23_150210_time_01_2","lh","mOTS-words","FG4","word","adult","ILF",8.42408712363869
"JP23/JP23_150210_time_01_2","lh","mOTS-words","FG4","word","adult","AF",27.706598334401
"JP23/JP23_150210_time_01_2","lh","mOTS-words","FG4","word","adult","pAF",63.613068545804
"JP23/JP23_150210_time_01_2","lh","mOTS-words","FG4","word","adult","VOF",0
"SL23/SL23_150321_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0
"SL23/SL23_150321_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",7.48362956033676
