"subject","hem","roi","cyto","domain","group","tract","percentage"
"DAPA10","lh","FG4-ant","FG4","none","kid","pAF",40.625
"DAPA10","lh","FG4-ant","FG4","none","kid","VOF",0
"AG10","lh","FG4-ant","FG4","none","kid","IFOF",0
"AG10","lh","FG4-ant","FG4","none","kid","ILF",0
"AG10","lh","FG4-ant","FG4","none","kid","AF",12
"AG10","lh","FG4-ant","FG4","none","kid","pAF",88
"AG10","lh","FG4-ant","FG4","none","kid","VOF",0
"STM10","lh","FG4-ant","FG4","none","kid","IFOF",0
"STM10","lh","FG4-ant","FG4","none","kid","ILF",0
"STM10","lh","FG4-ant","FG4","none","kid","AF",66.6666666666667
"STM10","lh","FG4-ant","FG4","none","kid","pAF",33.3333333333333
"STM10","lh","FG4-ant","FG4","none","kid","VOF",0
"SERA10","lh","FG4-ant","FG4","none","kid","IFOF",0
"SERA10","lh","FG4-ant","FG4","none","kid","ILF",5.87275693311582
"SERA10","lh","FG4-ant","FG4","none","kid","AF",18.5970636215334
"SERA10","lh","FG4-ant","FG4","none","kid","pAF",75.5301794453507
"SERA10","lh","FG4-ant","FG4","none","kid","VOF",0
"KW10","lh","FG4-ant","FG4","none","kid","IFOF",0
"KW10","lh","FG4-ant","FG4","none","kid","ILF",9.35919055649241
"KW10","lh","FG4-ant","FG4","none","kid","AF",23.6087689713322
"KW10","lh","FG4-ant","FG4","none","kid","pAF",66.610455311973
"KW10","lh","FG4-ant","FG4","none","kid","VOF",0
"NW10","lh","FG4-ant","FG4","none","kid","IFOF",0
"NW10","lh","FG4-ant","FG4","none","kid","ILF",4.7244094488189
"NW10","lh","FG4-ant","FG4","none","kid","AF",27.5590551181102
"NW10","lh","FG4-ant","FG4","none","kid","pAF",67.7165354330709
"NW10","lh","FG4-ant","FG4","none","kid","VOF",0
"RJM10","lh","FG4-ant","FG4","none","kid","IFOF",0
"RJM10","lh","FG4-ant","FG4","none","kid","ILF",0.970873786407767
"RJM10","lh","FG4-ant","FG4","none","kid","AF",11.1650485436893
"RJM10","lh","FG4-ant","FG4","none","kid","pAF",87.8640776699029
"RJM10","lh","FG4-ant","FG4","none","kid","VOF",0
"AyS10","lh","FG4-ant","FG4","none","kid","IFOF",0
"AyS10","lh","FG4-ant","FG4","none","kid","ILF",0
"AyS10","lh","FG4-ant","FG4","none","kid","AF",33.3333333333333
"AyS10","lh","FG4-ant","FG4","none","kid","pAF",66.6666666666667
"AyS10","lh","FG4-ant","FG4","none","kid","VOF",0
"CGSA11","lh","FG4-ant","FG4","none","kid","IFOF",0
"CGSA11","lh","FG4-ant","FG4","none","kid","ILF",8.52428964252979
"CGSA11","lh","FG4-ant","FG4","none","kid","AF",19.5233730522456
"CGSA11","lh","FG4-ant","FG4","none","kid","pAF",71.9523373052246
"CGSA11","lh","FG4-ant","FG4","none","kid","VOF",0
"MFC11","lh","FG4-ant","FG4","none","kid","IFOF",0
"MFC11","lh","FG4-ant","FG4","none","kid","ILF",1.25348189415042
"MFC11","lh","FG4-ant","FG4","none","kid","AF",20.7520891364903
"MFC11","lh","FG4-ant","FG4","none","kid","pAF",77.9944289693593
"MFC11","lh","FG4-ant","FG4","none","kid","VOF",0
"JTE11","lh","FG4-ant","FG4","none","kid","IFOF",0
"JTE11","lh","FG4-ant","FG4","none","kid","ILF",2.08333333333333
"JTE11","lh","FG4-ant","FG4","none","kid","AF",29.1666666666667
"JTE11","lh","FG4-ant","FG4","none","kid","pAF",68.75
"JTE11","lh","FG4-ant","FG4","none","kid","VOF",0
"JDB11","lh","FG4-ant","FG4","none","kid","IFOF",0
"JDB11","lh","FG4-ant","FG4","none","kid","ILF",9.49227373068433
"JDB11","lh","FG4-ant","FG4","none","kid","AF",41.280353200883
"JDB11","lh","FG4-ant","FG4","none","kid","pAF",49.2273730684327
"JDB11","lh","FG4-ant","FG4","none","kid","VOF",0
"LL11","lh","FG4-ant","FG4","none","kid","IFOF",0
"LL11","lh","FG4-ant","FG4","none","kid","ILF",2.41718889883617
"LL11","lh","FG4-ant","FG4","none","kid","AF",31.0653536257833
"LL11","lh","FG4-ant","FG4","none","kid","pAF",66.5174574753805
"LL11","lh","FG4-ant","FG4","none","kid","VOF",0
"CS11","lh","FG4-ant","FG4","none","kid","IFOF",0
"CS11","lh","FG4-ant","FG4","none","kid","ILF",0.606060606060606
"CS11","lh","FG4-ant","FG4","none","kid","AF",18.7878787878788
"CS11","lh","FG4-ant","FG4","none","kid","pAF",80.6060606060606
"CS11","lh","FG4-ant","FG4","none","kid","VOF",0
"OS12","lh","FG4-ant","FG4","none","kid","IFOF",0
"OS12","lh","FG4-ant","FG4","none","kid","ILF",11.6760828625235
"OS12","lh","FG4-ant","FG4","none","kid","AF",15.819209039548
"OS12","lh","FG4-ant","FG4","none","kid","pAF",72.5047080979284
"OS12","lh","FG4-ant","FG4","none","kid","VOF",0
"CLC06","lh","FG4-ant","FG4","none","kid","IFOF",0
"CLC06","lh","FG4-ant","FG4","none","kid","ILF",29
"CLC06","lh","FG4-ant","FG4","none","kid","AF",7.5
